feature,perm_macro_f1_drop_mean,perm_macro_f1_drop_std
emb_261,-0.00020933297795182603,0.00021513365967144917
emb_164,-0.00020957762349720354,0.00017293700280338007
emb_478,-0.0002108083602729405,0.0001046680592986036
emb_177,-0.0002110523664483166,0.00038358427212763723
emb_201,-0.0002154716830347736,0.0001357418792576474
emb_105,-0.0002158581274793292,0.0003582725492473208
emb_112,-0.00021916293531585307,0.0004612656595853203
emb_79,-0.0002207096747946835,0.00025457550324804056
emb_498,-0.0002219743357797954,0.00027173453699483297
emb_468,-0.00022729839396311567,0.00027888919050413557
emb_145,-0.0002285099181935646,0.00022481404821674542
emb_319,-0.00023122691327248646,0.0003475932135914156
emb_371,-0.00023686227594381658,0.0001509267656436918
emb_280,-0.00024318094516420085,0.00014256107679028548
emb_255,-0.00024387924121560545,0.0001418388904234585
emb_502,-0.00024392666694397213,1.6089802918896454e-05
emb_136,-0.00024658266328936307,0.0002850798357085387
emb_159,-0.00024763749916587583,0.00033621869798984203
emb_347,-0.00024995561021490253,0.0003915921991804557
emb_427,-0.00025094148352051705,0.0008987913729378523
emb_29,-0.0002519862633072911,0.0001581902195811415
emb_504,-0.0002521810738053798,0.00046070178581397215
emb_228,-0.00025354986257437596,0.0005837166052695077
emb_61,-0.00025862683460546875,0.0001428606543943926
emb_7,-0.0002595498642770755,0.0004712700013065414
emb_43,-0.0002622081287824374,0.00016420256256542722
emb_249,-0.0002624081958598534,0.00013663215427493403
emb_230,-0.0002663891565350074,0.0004573211403221029
emb_40,-0.0002705012625758174,0.00033004535626233696
emb_355,-0.00027795029027672947,0.00012324462440084825
emb_240,-0.0002828459117441007,0.0005000463334912682
emb_264,-0.0002834663716262842,0.00010292275985948156
emb_292,-0.00028599493229835015,0.0005121079286516179
emb_20,-0.0002860708927540756,0.0001716800126902897
emb_315,-0.0002861753155847024,0.0003479319938810484
emb_215,-0.000286751258545026,0.00027166810645783596
emb_267,-0.0002902927221422047,0.0004428034170597766
emb_301,-0.0002917898800849805,0.0005792457925293853
emb_15,-0.00029185269308604764,0.0003361979144382665
emb_404,-0.00030038074338663013,0.00016346191391913023
emb_9,-0.0003042334117463241,0.0001625342624643124
emb_82,-0.0003045401274609949,0.0007434764099045081
emb_6,-0.00030526551092413534,0.0003527476853068602
emb_101,-0.0003053316629394676,0.00031530608627813465
emb_479,-0.0003095103008403877,7.249573457303058e-05
emb_90,-0.000311299382420116,0.00036669393135904384
emb_341,-0.0003128667616159042,0.00031550542092510006
emb_265,-0.0003154901769005347,0.00015643109127210455
emb_218,-0.000319058375820358,0.00033251162836309296
emb_469,-0.00033027828827170147,0.0004060361172837975
emb_98,-0.0003308174526816865,7.600200610385781e-05
emb_281,-0.00033094916336613435,0.0006308019047753431
emb_17,-0.00033293600831472145,0.0002622068023295897
emb_141,-0.0003351477366876798,0.00043275331093572955
emb_210,-0.0003353878625564688,0.0004561608929424685
emb_413,-0.00033612977148944623,0.00022398865362659398
emb_448,-0.0003400406991127758,0.0002289279792711073
emb_190,-0.0003414484950331698,0.00016906380528343713
emb_471,-0.0003439531962815545,0.0
emb_310,-0.00034576402693218264,0.0001897541564833395
emb_511,-0.00034726606431658704,3.141477912742552e-05
emb_343,-0.00034800956770695277,0.0002427223538307133
emb_418,-0.00036079471735050994,0.00042185411901962336
emb_402,-0.00036134460754939647,0.0002996177291748074
emb_399,-0.0003622254688144144,0.00026218615774077533
emb_113,-0.00036549793088129777,0.00030443543675906406
emb_330,-0.0003831985245787761,0.0003870061389413943
emb_110,-0.0003920300840003721,0.0004320622281926704
emb_306,-0.0003931241069363489,0.00035404093368999497
emb_256,-0.0003968148177616815,0.0004052066501614333
emb_77,-0.00040132288811851603,0.00045549379347257666
emb_432,-0.0004021167111859514,0.00020027497461736748
emb_1,-0.00040364416304266014,8.159312422125405e-05
emb_437,-0.00040370753436320684,0.0003606025753731846
emb_284,-0.0004084406929614648,0.00038799766421661455
emb_62,-0.00041188065053907594,0.0005528767880957684
emb_494,-0.0004123199077797013,0.00034036424939248806
emb_149,-0.00042495721130935137,0.0002186481159565738
